id,name,address,pastorname,map_latitude,map_longitude,link,type
2140,CHANGE Community Church,"33 East Laurel Street Philadelphia, PA 19123",,39.9653179,-75.13536719999999,https://www.thisischange.org,plant
2148,Vine Church NYC,"258 Johnson Avenue Brooklyn, NY 11206",,40.706848,-73.9381176,https://www.vinechurchnyc.com/,plant
2156,Connect Community,"381 High Ridge Road Stamford, CT 06905",,41.0842978,-73.54635139999999,http://www.connectcommunity.tv/,plant
2158,Kings Church,"31 Monroe, 4th Fl New York, NY 10002",,40.7117416,-73.9949859,http://www.kcnyc.org,plant
2175,Liberty Church - Bay Ridge,"8515 Ridge Boulevard Brooklyn, NY 11209",,40.6245841,-74.0329958,http://www.libertychurchbayridge.com,other
2183,CityReach Church Northeast Philly (Iglesia),"6814 Torresdale Avenue Philadelphia, PA 19135",,40.0258073,-75.0443674,http://northeastphilly.iglesiacityreach.org,plant
2252,Catalyst Church,"720 Newfield Street Middletown, CT 06457",,41.5783596,-72.6717051,http://catalyst.church,plant
2261,Charisma Ministries,"142 Broad Street Summit, NJ 07901",,40.713602,-74.3434,http://www.charismaministry.com/,other
2263,Christ Alive Church,"493 East Meadow Avenue East Meadow, NY 11554",,40.7122003,-73.5567212,http://christalivechurchny.org,other
2266,Christ Tabernacle,"64-34 Myrtle Avenue Glendale, NY 11385",,40.7008485,-73.8912926,http://www.christtabernacle.org,other
2271,Point Community Church,"83 Shirley Court Commack, NY 11725",,40.8401507,-73.2596734,http://www.pointchurch.tv ,other
2292,City Life Church,"3301 S 20th Street Philadelphia, PA 19145",,39.9099628,-75.1814418,https://www.citylifephilly.com,plant
2350,Epic Church,"480 South Broad Street Philadelphia, PA 19146",,39.9448916,-75.16549970000001,http://epic.church,other
2428,Change Church,"200 Ludlow Drive Ewing Township, NJ 08638",,40.26147280000001,-74.7530917,http://www.kcnj.org,other
2436,Liberty Church - Downtown Manhattan,"55 Broadway New York, NY 10006",,40.7068263,-74.01303039999999,https://libertychurch.com/downtown,plant
2470,Vertical Church,"225 Meloy Road West Haven, CT 06516",,41.2781224,-72.9756752,http://www.verticalct.com,other
2471,Love of Christ Church,"2157 Bear Corbitt Road Bear, DE 19701",,39.596805,-75.6609021,http://www.loveofchristchurch.org,other
2491,Fusion Church,"701 New Hampshire Avenue Somers Point, NJ 08244",,39.323196,-74.5998271,http://www.fusionchurch.cc ,other
