name,address
Saint Mark United Methodist Church,"781 Peachtree St NEAtlanta, GA 30308"
Cathedral Of Christ The King,"2699 Peachtree Rd NEAtlanta, GA 30305"
Mount Paran Church Of God,"2055 Mount Paran Rd NWAtlanta, GA 30327"
Passion City Church,"515 Garson Dr NEAtlanta, GA 30324"
First Baptist Church Atlanta Dr. Charles Stanley,"4400 N Peachtree RdAtlanta, GA 30338"
Our Lady Of Lourdes Catholic Church,"25 Boulevard NEAtlanta, GA 30312"
New Covenant Church of Atlanta,"2091 Faulkner Rd NEAtlanta, GA 30324"
Unitarian Universalist Church of Atlanta,"1911 Cliff Valley Way NEAtlanta, GA 30329"
Peachtree Presbyterian Church,"3434 Roswell Rd NWAtlanta, GA 30305"
Worship With Wonders Church,"1775 Water Place SEAtlanta, GA 30339"
Al Farooq Masjid,"442 14th St NWAtlanta, GA 30318"
Grace United Methodist Church,"458 Ponce De Leon Ave NEAtlanta, GA 30308"
Trinity Anglican Mission,"2270 Defoor Hills Rd NWAtlanta, GA 30318"
Latter Grace Church,"1403 Northwest Dr NWAtlanta, GA 30318"
Holy Spirit Preparatory School,"4465 Northside Dr NWAtlanta, GA 30327"
Ahavath Achim Synagogue,"600 Peachtree Battle Ave NWAtlanta, GA 30327"
St Pauls Presbyterian Church,"163 Ponce De Leon Ave NEAtlanta, GA 30308"
Northside Drive Baptist Church,"3100 Northside Dr NWAtlanta, GA 30305"
Destiny Metropolitan Worship,"1775 Water Pl SEAtlanta, GA 30339"
Dunwoody United Methodist Church,"1548 Mount Vernon RdAtlanta, GA 30338"
Family Life Center,"2715 Peachtree Rd NEAtlanta, GA 30305"
Atlanta Communities,"5920 Roswell Rd Ste B118Atlanta, GA 30328"
Briar Cliff Baptist Church,"3039 Briarcliff Rd NEAtlanta, GA 30329"
Temple Sinai,"5645 Dupree DrAtlanta, GA 30327"
Marvelous Light Studios,"1980 Sandgate CircleAtlanta, GA 30349"
Peachtree Road Lutheran Church Pre-School,"3686 Peachtree Rd NEAtlanta, GA 30319"
Believers Bible Christian Church,"3689 Campbellton Rd., SWAtlanta, GA 30331"
Creflo Dollar Ministries,"Po Box 490124Atlanta, GA 30349"
Elizabeth Baptist Church,"4245 Cascade Rd SWAtlanta, GA 30331"
Providence Missionary Baptist Church,"2295 Benjamin E Mays Dr SWAtlanta, GA 30311"
The Greater Piney Grove Baptist Church,"1879 Glenwood Ave SE, Atlanta, GA 30316"
Mt Harmony Baptist Church,"561 Veterans Memorial Hwy SW, Mableton, GA 30126"
Church Of Christ Moreland Ave,"671 Moreland Ave SE, Atlanta, GA 30316"
Catholic Archdiocese of Atlanta,"2401 Lake Park Dr SE, Smyrna, GA 30080"
Kelly Lake Church Of God In Christ,"2411 Whites Mill Rd, Decatur, GA 30032"
Mt Ephraim Baptist Church,"1202 W Marietta St NW, Atlanta, GA 30318"
Saint Mark United Methodist Church,"781 Peachtree St NEAtlanta, GA 30308"
Cathedral Of Christ The King,"2699 Peachtree Rd NEAtlanta, GA 30305"
Mount Paran Church Of God,"2055 Mount Paran Rd NWAtlanta, GA 30327"
Passion City Church,"515 Garson Dr NEAtlanta, GA 30324"
First Baptist Church Atlanta Dr. Charles Stanley,"4400 N Peachtree RdAtlanta, GA 30338"
Our Lady Of Lourdes Catholic Church,"25 Boulevard NEAtlanta, GA 30312"
New Covenant Church of Atlanta,"2091 Faulkner Rd NEAtlanta, GA 30324"
Unitarian Universalist Church of Atlanta,"1911 Cliff Valley Way NEAtlanta, GA 30329"
Peachtree Presbyterian Church,"3434 Roswell Rd NWAtlanta, GA 30305"
Worship With Wonders Church,"1775 Water Place SEAtlanta, GA 30339"
Al Farooq Masjid,"442 14th St NWAtlanta, GA 30318"
Grace United Methodist Church,"458 Ponce De Leon Ave NEAtlanta, GA 30308"
Trinity Anglican Mission,"2270 Defoor Hills Rd NWAtlanta, GA 30318"
Latter Grace Church,"1403 Northwest Dr NWAtlanta, GA 30318"
Holy Spirit Preparatory School,"4465 Northside Dr NWAtlanta, GA 30327"
Ahavath Achim Synagogue,"600 Peachtree Battle Ave NWAtlanta, GA 30327"
St Pauls Presbyterian Church,"163 Ponce De Leon Ave NEAtlanta, GA 30308"
Northside Drive Baptist Church,"3100 Northside Dr NWAtlanta, GA 30305"
Destiny Metropolitan Worship,"1775 Water Pl SEAtlanta, GA 30339"
Dunwoody United Methodist Church,"1548 Mount Vernon RdAtlanta, GA 30338"
Family Life Center,"2715 Peachtree Rd NEAtlanta, GA 30305"
Atlanta Communities,"5920 Roswell Rd Ste B118Atlanta, GA 30328"
Briar Cliff Baptist Church,"3039 Briarcliff Rd NEAtlanta, GA 30329"
Temple Sinai,"5645 Dupree DrAtlanta, GA 30327"
Marvelous Light Studios,"1980 Sandgate CircleAtlanta, GA 30349"
Peachtree Road Lutheran Church Pre-School,"3686 Peachtree Rd NEAtlanta, GA 30319"
Believers Bible Christian Church,"3689 Campbellton Rd., SWAtlanta, GA 30331"
Creflo Dollar Ministries,"Po Box 490124Atlanta, GA 30349"
Elizabeth Baptist Church,"4245 Cascade Rd SWAtlanta, GA 30331"
Providence Missionary Baptist Church,"2295 Benjamin E Mays Dr SWAtlanta, GA 30311"
The Greater Piney Grove Baptist Church,"1879 Glenwood Ave SE, Atlanta, GA 30316"
Mt Harmony Baptist Church,"561 Veterans Memorial Hwy SW, Mableton, GA 30126"
Church Of Christ Moreland Ave,"671 Moreland Ave SE, Atlanta, GA 30316"
Catholic Archdiocese of Atlanta,"2401 Lake Park Dr SE, Smyrna, GA 30080"
Kelly Lake Church Of God In Christ,"2411 Whites Mill Rd, Decatur, GA 30032"
Mt Ephraim Baptist Church,"1202 W Marietta St NW, Atlanta, GA 30318"
Dunwoody Baptist Church,"1445 Mount Vernon RdAtlanta, GA 30338"
Greek Orthodox Cathedral,"2500 Clairmont Rd NEAtlanta, GA 30329"
Immaculate Conception Rectory,"48 Martin Luther King Jr Dr SWAtlanta, GA 30303"
Inman Park United Methodist Church,"1015 Edgewood Ave NEAtlanta, GA 30307"
Holy Spirit College,"4465 Northside Dr NWAtlanta, GA 30327"
Ebenezer Baptist Church,"407 Auburn Ave NEAtlanta, GA 30312"
North Avenue Presbyterian Church,"607 Peachtree St NEAtlanta, GA 30308"
All Saints Catholic Church,"2443 Mount Vernon RdAtlanta, GA 30338"
Ministers of Jesus Christ Church,"935 Bolton Rd NWAtlanta, GA 30331"
Shallowford Presbyterian Church,"2375 Shallowford Rd NEAtlanta, GA 30345"
Southwest Christian Church,"4330 Washington RdAtlanta, GA 30344"
The Lutheran Church of The Ascension,"4000 Roswell Rd NEAtlanta, GA 30342"
Atlanta Inner-City Ministry,"1966 Lakewood Ter SEAtlanta, GA 30315"
College Park Presbyterian Church,"1540 Mercer AveAtlanta, GA 30337"
Hapeville United Methodist Church,"3510 Atlanta AveAtlanta, GA 30354"
Temple Calvary Baptist Church,"700 Cooper St SWAtlanta, GA 30315"
St Barnabas Anglican Church,"4795 N Peachtree RdAtlanta, GA 30338"
Atlanta Masjid Of Al-Islam,"560 Fayetteville Rd SEAtlanta, GA 30316"
Mount Vernon Presbyterian School,"471 Mount Vernon Hwy NEAtlanta, GA 30328"
Providence Baptist Church,"1773 Hawthorne AveAtlanta, GA 30337"
Church Of Christ Moreland Ave,"671 Moreland Ave SEAtlanta, GA 30316"
St Lukes Episcopal Church,"435 Peachtree St NEAtlanta, GA 30308"
Changing A Generation Full Gospel Baptist Church,"3350 Greenbriar Pkwy SWAtlanta, GA 30331"
The Greater Piney Grove Baptist Church,"1879 Glenwood Ave SEAtlanta, GA 30316"
Simpson St Church of Christ,"800 Joseph E Boone Blvd NWAtlanta, GA 30314"
New Hope Church Of Dunwoody,"5477 Roberts DrAtlanta, GA 30338"
Campus Fellowship,"767 Techwood DriveAtlanta, GA 30313"
Iglesia de Cristo En Doraville,"3545 Chestnut DrAtlanta, GA 30340"
Embry Hills United Methodist Church,"3304 Henderson Mill RdAtlanta, GA 30341"
In Touch Ministry,"3836 Dekalb Technology PkwyAtlanta, GA 30340"
The Dream Center,"4209 Northeast ExpyAtlanta, GA 30340"
Body Of Christ Church International USA,"3650 Flat Shoals RdAtlanta, GA 30349"
Calvary Assembly Of God,"5067 Chamblee Dunwoody RdAtlanta, GA 30338"
Discover Life Church Atlanta,"2197 Peeler RdAtlanta, GA 30338"
West Side Community C M E Church,"2114 Martin Luther King Jr Dr SWAtlanta, GA 30310"
St John's Episcopal Church,"3480 Main StAtlanta, GA 30337"
Cross & Crown Lutheran Church Elca,"4276 Chamblee Dunwoody RdAtlanta, GA 30341"
Open Door Epc,"3005 Delmar Ln NWAtlanta, GA 30311"
Word of Faith Love Center,"2435 Ben Hill RdAtlanta, GA 30344"
East Point First-Mallalieu,"2651 Church StAtlanta, GA 30344"
First United Methodist Church Of College Park,"3726 Main StAtlanta, GA 30337"
Love Center Christian Academy,"1681 Campbellton Rd SWAtlanta, GA 30311"
I C F Ministries,"3099 Humphries Dr SEAtlanta, GA 30354"
Grant Chapel Ame Church,"1319 Holcomb AveAtlanta, GA 30344"
Unlimited Deliverance,"2426 Fairburn Rd SWAtlanta, GA 30331"
Atlanta Dream Center Church,"635 Angier Ave NEAtlanta, GA 30308"
Saint Anne's Episcopal Church,"3098 Saint Annes Ln NWAtlanta, GA 30327"
Greater New Light Baptist Church,"2540 Campbellton Rd SWAtlanta, GA 30311"
Zion Hill Baptist Church,"6175 Campbellton Rd SWAtlanta, GA 30331"
Embry Hills Church Of Christ,"3250 Chamblee Tucker RdAtlanta, GA 30341"
Rosc Ministries,"1817 Hollywood Rd NWAtlanta, GA 30318"
The Church of the Apostles,"3585 Northside Pkwy NWAtlanta, GA 30327"
The Solid Rock Of Atlanta,"3740 Dekalb Technology ParkwayAtlanta, GA 30340"
New Church Of Atlanta,"2845 Amwiler RdAtlanta, GA 30360"
Cliftondale United Methodist,"4095 Stonewall Tell Rd. College ParkAtlanta, GA 30349"
First Baptist Church of Cliftondale,"4005 Stonewall Tell RdAtlanta, GA 30349"
Central Presbyterian Church,"201 Washington St SWAtlanta, GA 30303"
Korean Martyrs Catholic Church,"6003 Buford Hwy NEAtlanta, GA 30340"
Fort Street Memorial United Methodist Church,"562 Boulevard NEAtlanta, GA 30308"
Sharon United Methodist Church,"8775 Dunwoody PlAtlanta, GA 30350"
The Hare Krishna Temple,"1315 S Ponce De Leon Ave NEAtlanta, GA 30306"
Victory Outreach Church,"2175 Metropolitan Pkwy SWAtlanta, GA 30315"
Seeds of Faith Ministries,"1581 Fairburn Rd SWAtlanta, GA 30331"
Iglesia Adventista Del Septimo Dia,"3295 Northcrest RdAtlanta, GA 30340"
Sandy Springs Christian Church,"301 Johnson Ferry Rd NWAtlanta, GA 30328"
Bible Way Ministries,"894 Constitution Rd SEAtlanta, GA 30315"
St Bartholomew's,"1790 Lavista Rd NEAtlanta, GA 30329"
Mt Vernon Baptist Church,"441 Martin Luther King Jr Dr NWAtlanta, GA 30313"
Greater Deliverance Baptist Church,"705 Joseph E Lowery Blvd NWAtlanta, GA 30318"
First Baptist Church Of Ea,"2813 E Point StAtlanta, GA 30344"
First Baptist Church,"650 Mount Vernon Hwy NEAtlanta, GA 30328"
Emmaus Road Missionary Baptist Church,"3725 Flat Shoals RdAtlanta, GA 30349"
North Peachtree Baptist Church,"4805 Tilly Mill RdAtlanta, GA 30360"
The Catholic Center At Georgia Tech,"172 4th St NWAtlanta, GA 30313"
Schoolwest End Church Of Christ,"580 Hopkins St SWAtlanta, GA 30310"
West End Presbyterian Church,"1024 Ponce De Leon Ave NEAtlanta, GA 30306"
Southeast Conference United Church Of Christ,"1330 W Peachtree St NWAtlanta, GA 30309"
Ebenezer United Church Inc,"1705 Richmond Ave SEAtlanta, GA 30315"
East Point,"3046 Church StAtlanta, GA 30344"
Bouldercrest Church of Christ,"2727 Bouldercrest Rd SEAtlanta, GA 30316"
Christian Church Buckhead,"300 W Wieuca Rd NE Ste A112Atlanta, GA 30342"
Camp Creek Church Of Christ,"2400 Merk Rd SWAtlanta, GA 30331"
Dial-A-Bible Message,"3250 Chamblee Tucker RdAtlanta, GA 30341"
Warren Memorial United Methodist Church,"181 Joseph E Lowery Blvd SWAtlanta, GA 30314"
Tenth Street United Methodist Church,"425 10th St NWAtlanta, GA 30318"
East Point Ave United Methodist Church,"2792 E Point StAtlanta, GA 30344"
Headland Heights United Meth Church,"2147 Dodson DrAtlanta, GA 30344"
Poplar Springs United Methodist Church,"5555 Old Cascade Rd SWAtlanta, GA 30331"
Sandy Springs United Methodist Church,"86 Mount Vernon Hwy NWAtlanta, GA 30328"
Kingswood United Methodist Church,"4896 N Peachtree RdAtlanta, GA 30338"
Siloam Baptist Church,"3695 Roosevelt HwyAtlanta, GA 30349"
Now Faith Apostolic Ministry,"705 Martin St SEAtlanta, GA 30315"
Sacred Heart Church,"353 Peachtree St NEAtlanta, GA 30308"
Abundant Life COGIC,"1280 Benteen Way SEAtlanta, GA 30315"
New Life International Family Church,"1800 Jonesboro Rd SEAtlanta, GA 30315"
