name,address
Forest Hill Church,"7224 Park RdCharlotte, NC 28210"
First Baptist Church of Charlotte,"301 S Davidson StCharlotte, NC 28202"
Mecklenburg Community Church,"8335 Browne RdCharlotte, NC 28269"
Steele Creek Church Of Charlotte,"1929 W Arrowood RdCharlotte, NC 28217"
Calvary Church,"5801 Pineville Matthews RdCharlotte, NC 28226"
St Peter's Catholic Church,"507 S Tryon StCharlotte, NC 28202"
Friendship Missionary Baptist Church,"3400 Beatties Ford RdCharlotte, NC 28216"
First United Methodist Church,"501 N Tryon StCharlotte, NC 28202"
Ebenezer Baptist Church,"2020 W Sugar Creek RdCharlotte, NC 28262"
Myers Park United Methodist Church,"1501 Queens RdCharlotte, NC 28207"
Greater Mt Sinai Baptist Church,"1243 West BlvdCharlotte, NC 28208"
Babalawo/ifa priest,"2312 Dunlavin WayCharlotte, NC 28205"
St Martin's Episcopal Church,"1510 E 7th StCharlotte, NC 28204"
Mama Bessie's Place,"3010 Monroe Rd Ste 104Charlotte, NC 28205"
United House Of Prayer For All People,"2321 Beatties Ford RdCharlotte, NC 28216"
Unitarian Universalist Church Of Charlotte,"234 N Sharon Amity RdCharlotte, NC 28211"
University City Seventh-Day Adventist Church,"11431 University City BlvdCharlotte, NC 28213"
Holy Trinity Lutheran Church,"1900 The PlzCharlotte, NC 28205"
Plaza Presbyterian Church,"2304 The PlzCharlotte, NC 28205"
The Grove Presbyterian Church,"5735 E W T Harris BlvdCharlotte, NC 28215"
Wedgewood Church,"4800 Wedgewood DriveCharlotte, NC 28210"
United Wesleyan Church,"2601 Rocky River RdCharlotte, NC 28213"
The Palmer Building,"2601 E 7th StCharlotte, NC 28204"
St Matthew Catholic School,"8015 Ballantyne Commons PkwyCharlotte, NC 28277"
Woodlawn Baptist Church,"4622 Nations Crossing RdCharlotte, NC 28217"
Grace Covenant Church,"1800 South BlvdCharlotte, NC 28203"
First Baptist Church-West,"1801 Oaklawn AveCharlotte, NC 28216"
Mulberry Presbyterian Church,"5600 Tuckaseegee RdCharlotte, NC 28208"
Soul Care,"5501 Executive Center DrCharlotte, NC 28212"
Charlotte United Christian Academy,"7640 Wallace RdCharlotte, NC 28212"
Calvary Church,"5801 Pineville Matthews Rd, Charlotte, NC 28226"
Harbor Baptist Church,"5801 Old Concord Rd, Charlotte, NC 28213"
Calvary Christian Church of the Apostolic Faith Inc,"3001 Kilborne Dr, Charlotte, NC 28205"
New Bethel Church Of God In Christ,"1520 Little Rock Rd, Charlotte, NC 28214"
Freedom House Church,"2732 Salome Church Dr, Char, NC 28217"
Greater Mt Sinai Baptist Church,"1243 West Blvd, Charlotte, NC 28208"
First Presbyterian Church,"200 W Trade St, Charlotte, NC 28202"
Forest Hill Church,"7224 Park RdCharlotte, NC 28210"
First Baptist Church of Charlotte,"301 S Davidson StCharlotte, NC 28202"
Mecklenburg Community Church,"8335 Browne RdCharlotte, NC 28269"
Steele Creek Church Of Charlotte,"1929 W Arrowood RdCharlotte, NC 28217"
Calvary Church,"5801 Pineville Matthews RdCharlotte, NC 28226"
St Peter's Catholic Church,"507 S Tryon StCharlotte, NC 28202"
Friendship Missionary Baptist Church,"3400 Beatties Ford RdCharlotte, NC 28216"
First United Methodist Church,"501 N Tryon StCharlotte, NC 28202"
Ebenezer Baptist Church,"2020 W Sugar Creek RdCharlotte, NC 28262"
Myers Park United Methodist Church,"1501 Queens RdCharlotte, NC 28207"
Greater Mt Sinai Baptist Church,"1243 West BlvdCharlotte, NC 28208"
Babalawo/ifa priest,"2312 Dunlavin WayCharlotte, NC 28205"
St Martin's Episcopal Church,"1510 E 7th StCharlotte, NC 28204"
Mama Bessie's Place,"3010 Monroe Rd Ste 104Charlotte, NC 28205"
United House Of Prayer For All People,"2321 Beatties Ford RdCharlotte, NC 28216"
Unitarian Universalist Church Of Charlotte,"234 N Sharon Amity RdCharlotte, NC 28211"
University City Seventh-Day Adventist Church,"11431 University City BlvdCharlotte, NC 28213"
Holy Trinity Lutheran Church,"1900 The PlzCharlotte, NC 28205"
Plaza Presbyterian Church,"2304 The PlzCharlotte, NC 28205"
The Grove Presbyterian Church,"5735 E W T Harris BlvdCharlotte, NC 28215"
Wedgewood Church,"4800 Wedgewood DriveCharlotte, NC 28210"
United Wesleyan Church,"2601 Rocky River RdCharlotte, NC 28213"
The Palmer Building,"2601 E 7th StCharlotte, NC 28204"
St Matthew Catholic School,"8015 Ballantyne Commons PkwyCharlotte, NC 28277"
Woodlawn Baptist Church,"4622 Nations Crossing RdCharlotte, NC 28217"
Grace Covenant Church,"1800 South BlvdCharlotte, NC 28203"
First Baptist Church-West,"1801 Oaklawn AveCharlotte, NC 28216"
Mulberry Presbyterian Church,"5600 Tuckaseegee RdCharlotte, NC 28208"
Soul Care,"5501 Executive Center DrCharlotte, NC 28212"
Charlotte United Christian Academy,"7640 Wallace RdCharlotte, NC 28212"
Calvary Church,"5801 Pineville Matthews Rd, Charlotte, NC 28226"
Harbor Baptist Church,"5801 Old Concord Rd, Charlotte, NC 28213"
Calvary Christian Church of the Apostolic Faith Inc,"3001 Kilborne Dr, Charlotte, NC 28205"
New Bethel Church Of God In Christ,"1520 Little Rock Rd, Charlotte, NC 28214"
Freedom House Church,"2732 Salome Church Dr, Char, NC 28217"
Greater Mt Sinai Baptist Church,"1243 West Blvd, Charlotte, NC 28208"
First Presbyterian Church,"200 W Trade St, Charlotte, NC 28202"
Central Church of God,"5301 Sardis RdCharlotte, NC 28270"
St Thomas Aquinas Church,"1400 Suther RdCharlotte, NC 28213"
St Gabriel Catholic Church,"3016 Providence RdCharlotte, NC 28211"
Unity And Love Ministry,"9333 Forsyth Park DrCharlotte, NC 28273"
Eastside Community Church,"10132 Harrisburg RdCharlotte, NC 28215"
Nations Ford Childrens Building,"5901 Nations Ford RdCharlotte, NC 28217"
University City Church Of God In Christ,"Charlotte, NC 28217"
Temple Beth El,"5101 Providence RdCharlotte, NC 28226"
Park Road Baptist Church,"3900 Park RdCharlotte, NC 28209"
Pleasant Hill Preschool,"15000 York RdCharlotte, NC 28278"
Temple Israel,"4901 Providence RdCharlotte, NC 28226"
New Outreach Christian Center,"3900 Gossett AveCharlotte, NC 28208"
Sharon Baptist Church,"6411 Sharon RdCharlotte, NC 28210"
Christ The King Lutheran Church,"13501 S Tryon StCharlotte, NC 28278"
Temple Of Refuge International Fellowship,"6420 Albemarle RdCharlotte, NC 28212"
Doers-The Word Christian,"10660 S Tryon StCharlotte, NC 28273"
Hope For Life Ministries,"PO Box 43762Charlotte, NC 28215"
The Life Center,"2435 Toomey AveCharlotte, NC 28203"
New Life Fellowship Church,"1337 Samuel StCharlotte, NC 28206"
True Abundance Restoration & Outreach Ministry,"724 Montana Dr Unit HCharlotte, NC 28216"
Hoskins Park Ministries,"107 Cromer StCharlotte, NC 28208"
Greater Deliverance Ministries,"4312 Lake RdCharlotte, NC 28269"
Rod Of God Ministries,"7400 S Tryon StCharlotte, NC 28217"
Kids Going Bananas,"6621 Beatties Ford RdCharlotte, NC 28216"
Trinity Worship Center,"4000 Gallant LnCharlotte, NC 28273"
Mallard Creek Worship Center,"2118 Breezewood DrCharlotte, NC 28262"
Calvary Christian Church of the Apostolic Faith Inc,"3001 Kilborne DrCharlotte, NC 28205"
Nations Ford Community Church,"5901 Nations Ford RdCharlotte, NC 28217"
Victory Christian Center,"7224 Old Pineville RdCharlotte, NC 28217"
Greater Galilee Baptist Church,"501 W Park AveCharlotte, NC 28203"
Providence Baptist Church,"4921 Randolph RdCharlotte, NC 28211"
Providence Road Church Of Christ,"4900 Providence RdCharlotte, NC 28226"
University Church Of Christ,"9920 Newell Hickory Grove RdCharlotte, NC 28213"
Sardis Presbyterian Church,"6100 Sardis RdCharlotte, NC 28270"
United Faith Christian Academy,"8617 Providence RdCharlotte, NC 28277"
Grace United Methodist Church,"737 E Woodlawn RdCharlotte, NC 28209"
Church Of God,"1131 Eastway DrCharlotte, NC 28205"
Pritchard MemorIal Baptis,"1117 South BlvdCharlotte, NC 28203"
Morning Star Baptist Church of Charlotte NC,"5623 Phillips StreetCharlotte, NC 28269"
Thrift Baptist Church,"8415 Moores Chapel RdCharlotte, NC 28214"
Silver Mount Baptist Church,"501 W Arrowood RdCharlotte, NC 28217"
Oak Grove Baptist Church,"9000 Mount Holly RdCharlotte, NC 28214"
Wilson Grove Baptist Church,"6624 Wilgrove Mint Hill RdCharlotte, NC 28227"
McKee Rd Baptist Church,"4300 McKee RdCharlotte, NC 28270"
Covenant Baptist Church,"11724 Elm LnCharlotte, NC 28277"
Mountain Island Church of Christ,"4205 Mt Holly Hntrsvl RdCharlotte, NC 28216"
Grace Lutheran Church,"7000 Providence RdCharlotte, NC 28226"
All Saints Lutheran Church,"17030 Lancaster HwyCharlotte, NC 28277"
Hope Community Church,"2813 Coltsgate Rd Ste 200Charlotte, NC 28211"
St Vincent DePaul Catholic Church,"6828 Old Reid RdCharlotte, NC 28210"
Mt Olive Presbyterian Church,"5125 Mount Olive Church RdCharlotte, NC 28278"
Central Steele Creek Presbyterian Church,"9401 S Tryon StCharlotte, NC 28273"
Providence Presbyterian Church,"10140 Providence Church LaneCharlotte, NC 28277"
Dilworth United Methodist Church,"605 East BlvdCharlotte, NC 28203"
Providence Unit,"2810 Providence RdCharlotte, NC 28211"
Sanctuary United Methodist Church,"11301 Granite StCharlotte, NC 28273"
Candlewyck Baptist Church,"7200 Providence RdCharlotte, NC 28226"
United House of Prayer for All People First Ward,"600 N Davidson StCharlotte, NC 28202"
Little Rock Ame Zion Church,"401 N Mcdowell StCharlotte, NC 28204"
The Rock Worship Center,"1113 Fordham RdCharlotte, NC 28208"
Paw Creek Christian Academy,"5110 Tuckaseegee RdCharlotte, NC 28208"
Bread Of Life Deliverance Church,"1245 Tom Hunter RdCharlotte, NC 28213"
World Worship Church,"3925 Rose Lake DrCharlotte, NC 28217"
Jehovah's Witnesses Congregations,"3630 Hubbard RdCharlotte, NC 28269"
Church Of Jesus Christ Of Latter Day Saints,"5815 Carmel RdCharlotte, NC 28226"
Church Of The Nazarene,"10801 Johnston Rd Ste 115Charlotte, NC 28226"
St Nektarios Greek Orthodox Church,"5108 Kuykendall RdCharlotte, NC 28270"
Big Pineville Ame Zion Church,"10562 Providence Rd WCharlotte, NC 28277"
Grace Christian Center,"15825 Marvin RdCharlotte, NC 28277"
Mount Moriah Primitive Baptist Church,"727 W Trade StCharlotte, NC 28202"
St Paul Baptist Church,"1401 Allen StCharlotte, NC 28205"
Macedonia Baptist Church,"1300 Hateras AveCharlotte, NC 28216"
Antioch Baptist Church,"232 Skyland AveCharlotte, NC 28205"
Calvary Baptist Church,"2200 Ashley RdCharlotte, NC 28208"
Sunset Road Baptist Church,"2317 Sunset RdCharlotte, NC 28216"
Clear Creek Baptist Church,"9015 Ferguson RdCharlotte, NC 28227"
St Mark's Lutheran Church-ELCA,"1001 Queens RdCharlotte, NC 28207"
Church Of Christ At Sugar Crk,"3932 Sofley RdCharlotte, NC 28206"
Charlotte Church Of Christ,"5327 S Tryon StCharlotte, NC 28217"
C N Jenkins Memorial Presbyterian Church,"1421 Statesville AveCharlotte, NC 28206"
Child Evangelism Fellowship,"2106 Milton RdCharlotte, NC 28215"
Greater Mount Zion Fbh Church of God,"6301 Old Mount Holly RdCharlotte, NC 28208"
Bible Presbyterian Church,"6222 Hunter AveCharlotte, NC 28262"
Presbyterian Home At Charlotte Inc,"5100 Sharon RdCharlotte, NC 28210"
Steele Creek Presbyterian Church,"7407 Steele Creek RdCharlotte, NC 28217"
Matthews-Murkland Presbyterian Church,"7001 Old Providence RdCharlotte, NC 28226"
