name,address
Concord Church,"6808 Pastor Bailey DrDallas, TX 75237"
Temple Emanu-El,"8500 Hillcrest AveDallas, TX 75225"
Saint Jude Chapel,"1521 Main StDallas, TX 75201"
The Potter's House,"6777 W Kiest BlvdDallas, TX 75236"
Episcopal Church Of The Transfiguration,"14115 Hillcrest RdDallas, TX 75254"
Cathedral Shrine of the Virgin Guadalupe,"2215 Ross AveDallas, TX 75201"
Oak Lawn United Methodist Church,"3014 Oak Lawn AveDallas, TX 75219"
Fellowship Church,"2809 Ross AveDallas, TX 75201"
Pilgrim Rest Missionary Baptist Church,"1819 N Washington AveDallas, TX 75204"
Christian Chapel CME Church,"14120 Noel RdDallas, TX 75254"
Dallas Apostolic Church,"3106 Acoca StDallas, TX 75228"
Bethany Baptist Church,"7300 Bruton RdDallas, TX 75217"
Walnut Hill Lutheran Church,"3202 Royal LnDallas, TX 75229"
Northwest Bible Church,"8505 Douglas AveDallas, TX 75225"
Saint Thomas Aquinas Church,"6306 Kenwood AveDallas, TX 75214"
Christ The King Church,"8017 Preston RdDallas, TX 75225"
First Unitarian Church-Dallas,"4015 Normandy AveDallas, TX 75205"
St Christopher's Montessori School,"7900 Lovers LnDallas, TX 75225"
Park Cities Presbyterian Church,"4124 Oak Lawn AveDallas, TX 75219"
White Rock United Methodist Church,"1450 Old Gate LnDallas, TX 75218"
First United Lutheran Church,"6202 E Mockingbird LnDallas, TX 75214"
Walnut Hill United Methodist Church,"10066 Marsh LnDallas, TX 75229"
St James Episcopal,"9845 Mccree RdDallas, TX 75238"
Holy Trinity Greek Orthodox Church,"13555 Hillcrest RdDallas, TX 75240"
Chapel In The Woods Bible Church,"3111 W Ledbetter DrDallas, TX 75233"
Trinity Dallas,"4300 Cole AveDallas, TX 75205"
Griggs Chapel Baptist Church,"1718 Fargo StDallas, TX 75223"
New Birth Baptist Church,"444 W Ledbetter DrDallas, TX 75224"
Saint Peters Vietnamese,"10123 Garland RdDallas, TX 75218"
New Life Tabernacle,"9606 La Prada DrDallas, TX 75228"
First United Methodist Church,"503 N Central Expy, Richardson, TX 75080"
Oak Cliff Bible Fellowship,"1808 W Camp Wisdom Rd, Dallas, TX 75232"
Saturn Road Church of Christ,"3030 Saturn Rd, Garland, TX 75041"
Northside Baptist Church,"2000 Denton Dr, Carrollton, TX 75006"
Oak Cliff Presbyterian,"6000 S Hampton Rd, Dallas, TX 75232"
Northside Baptist Church,"2000 Denton Dr, Carrollton, TX 75006"
Concord Church,"6808 Pastor Bailey DrDallas, TX 75237"
Temple Emanu-El,"8500 Hillcrest AveDallas, TX 75225"
Saint Jude Chapel,"1521 Main StDallas, TX 75201"
The Potter's House,"6777 W Kiest BlvdDallas, TX 75236"
Episcopal Church Of The Transfiguration,"14115 Hillcrest RdDallas, TX 75254"
Cathedral Shrine of the Virgin Guadalupe,"2215 Ross AveDallas, TX 75201"
Oak Lawn United Methodist Church,"3014 Oak Lawn AveDallas, TX 75219"
Fellowship Church,"2809 Ross AveDallas, TX 75201"
Pilgrim Rest Missionary Baptist Church,"1819 N Washington AveDallas, TX 75204"
Christian Chapel CME Church,"14120 Noel RdDallas, TX 75254"
Dallas Apostolic Church,"3106 Acoca StDallas, TX 75228"
Bethany Baptist Church,"7300 Bruton RdDallas, TX 75217"
Walnut Hill Lutheran Church,"3202 Royal LnDallas, TX 75229"
Northwest Bible Church,"8505 Douglas AveDallas, TX 75225"
Saint Thomas Aquinas Church,"6306 Kenwood AveDallas, TX 75214"
Christ The King Church,"8017 Preston RdDallas, TX 75225"
First Unitarian Church-Dallas,"4015 Normandy AveDallas, TX 75205"
St Christopher's Montessori School,"7900 Lovers LnDallas, TX 75225"
Park Cities Presbyterian Church,"4124 Oak Lawn AveDallas, TX 75219"
White Rock United Methodist Church,"1450 Old Gate LnDallas, TX 75218"
First United Lutheran Church,"6202 E Mockingbird LnDallas, TX 75214"
Walnut Hill United Methodist Church,"10066 Marsh LnDallas, TX 75229"
St James Episcopal,"9845 Mccree RdDallas, TX 75238"
Holy Trinity Greek Orthodox Church,"13555 Hillcrest RdDallas, TX 75240"
Chapel In The Woods Bible Church,"3111 W Ledbetter DrDallas, TX 75233"
Trinity Dallas,"4300 Cole AveDallas, TX 75205"
Griggs Chapel Baptist Church,"1718 Fargo StDallas, TX 75223"
New Birth Baptist Church,"444 W Ledbetter DrDallas, TX 75224"
Saint Peters Vietnamese,"10123 Garland RdDallas, TX 75218"
New Life Tabernacle,"9606 La Prada DrDallas, TX 75228"
