name,address
Taglyan Complex,"1201 Vine StLos Angeles, CA 90038"
First Congregational Church of Los Angeles,"540 S Commonwealth AveLos Angeles, CA 90020"
Christian Assembly Foursquare Church,"2401 Colorado BlvdLos Angeles, CA 90041"
Redeemer Baptist Elementary School,"10792 National BlvdLos Angeles, CA 90064"
Eagle Rock Baptist Church,"1499 Colorado BlvdLos Angeles, CA 90041"
Hollywood United Methodist Church,"6817 Franklin AveLos Angeles, CA 90028"
St Brendan Catholic Church,"310 S Van Ness AveLos Angeles, CA 90020"
University Bible Church,"10801 Wilshire BlvdLos Angeles, CA 90024"
Divine Saviour Catholic Church,"610 Cypress AveLos Angeles, CA 90065"
Solidrock Church,"1645 Beverly BlvdLos Angeles, CA 90026"
Vedanta Society-Southern Ca,"1946 Vedanta PlLos Angeles, CA 90068"
Monastery of the Angels,"1977 Carmen AveLos Angeles, CA 90068"
Atwater Park Baptist Church,"3370 Perlita AveLos Angeles, CA 90039"
West Los Angeles Buddhist Church,"2003 Corinth AveLos Angeles, CA 90025"
Arise Christian Center,"6949C La Tijera BlvdLos Angeles, CA 90045"
St. Thomas The Apostle Episcopal Church,"7501 Hollywood BlvdLos Angeles, CA 90046"
Immanuel Presbyterian Church,"3300 Wilshire BlvdLos Angeles, CA 90010"
Self Realization Fellowship Temple Hollywood,"4860 W Sunset BlvdLos Angeles, CA 90027"
St Raphael's School,"924 W 70th StLos Angeles, CA 90044"
Brentwood Presbyterian Church,"12000 San Vicente BlvdLos Angeles, CA 90049"
St Timothy's Catholic Church,"10425 W Pico BlvdLos Angeles, CA 90064"
Oasis Church,"634 S Normandie AveLos Angeles, CA 90005"
Ohr Hatorah,"11827 Venice BlvdLos Angeles, CA 90066"
Faith Tabernacle Church,"2147 Purdue AveLos Angeles, CA 90025"
Church Of Christ,"7911 S Vermont AveLos Angeles, CA 90044"
The Church of Jesus Christ of Latter-day Saints,"10777 Santa Monica BlvdLos Angeles, CA 90025"
St. John's Episcopal Church,"514 W Adams BlvdLos Angeles, CA 90007"
Immaculate Heart Of Mary,"4954 Santa Monica BlvdLos Angeles, CA 90029"
Love Korean Church,"2801 W Temple StLos Angeles, CA 90026"
Cristo Rey Church,"4343 Perlita AveLos Angeles, CA 90039"
Taglyan Complex,"1201 Vine StLos Angeles, CA 90038"
First Congregational Church of Los Angeles,"540 S Commonwealth AveLos Angeles, CA 90020"
Christian Assembly Foursquare Church,"2401 Colorado BlvdLos Angeles, CA 90041"
Redeemer Baptist Elementary School,"10792 National BlvdLos Angeles, CA 90064"
Eagle Rock Baptist Church,"1499 Colorado BlvdLos Angeles, CA 90041"
Hollywood United Methodist Church,"6817 Franklin AveLos Angeles, CA 90028"
St Brendan Catholic Church,"310 S Van Ness AveLos Angeles, CA 90020"
University Bible Church,"10801 Wilshire BlvdLos Angeles, CA 90024"
