name,address
First Unitarian Church,"2125 Chestnut StPhiladelphia, PA 19103"
Sullivan Owen,"1639 N Hancock St Ste 102Philadelphia, PA 19122"
Great Awakenings,"1466 E Cheltenham AvePhiladelphia, PA 19124"
St. John the Evangelist Catholic Church,"21 S 13th StPhiladelphia, PA 19107"
Freedom Church,"1412 Chestnut StPhiladelphia, PA 19102"
Praise & Glory Tabernacle,"6200 Greenway AvePhiladelphia, PA 19142"
Church Of The Holy Trinity,"1904 Walnut StPhiladelphia, PA 19103"
Epiphany Fellowship,"1632 W Diamond StPhiladelphia, PA 19121"
Arch St Preschool,"1724 Arch StPhiladelphia, PA 19103"
Broad Street Ministry,"315 S Broad StPhiladelphia, PA 19107"
Congregation B'nai Abraham,"527 Lombard StPhiladelphia, PA 19147"
Christian Stronghold Baptist Church,"4701 Lancaster AvePhiladelphia, PA 19131"
Christ Community Church,"4017 Chestnut StPhiladelphia, PA 19104"
St Simon The Cyrenian Church,"1401 S 22nd StPhiladelphia, PA 19146"
St Mary's Church Hamilton Village,"3916 Locust WalkPhiladelphia, PA 19104"
Old St Mary S Parish,"252 S 4th StPhiladelphia, PA 19106"
Johnson Memorial United Methodist Church,"3117 Longshore AvePhiladelphia, PA 19149"
Congregation Kesher Israel,"412 Lombard StPhiladelphia, PA 19147"
Circle Of Hope,"2007 Frankford AvePhiladelphia, PA 19125"
Philadelphia Ethical Society,"1906 Rittenhouse SqPhiladelphia, PA 19103"
Historic St. George's Chruch,"235 N 4th StPhiladelphia, PA 19106"
Calvary Christian Academy,"13500 Philmont AvePhiladelphia, PA 19116"
Pleasant Grove Baptist Church Of Philadelphia,"3909 Lancaster AvePhiladelphia, PA 19104"
University Lutheran Church,"3637 Chestnut StPhiladelphia, PA 19104"
Stella Maris Church,"2901 S 10th StPhiladelphia, PA 19148"
Holy Family Church,"234 Hermitage StPhiladelphia, PA 19127"
St Davids EV Lutheran Church,"9169 Academy RdPhiladelphia, PA 19114"
Chosen 300 Ministries Inc,"1116 Spring Garden StPhiladelphia, PA 19123"
Liberty Church Philadelphia,"1218 Wallace StPhiladelphia, PA 19123"
Society Hill Synagogue,"418 Spruce StPhiladelphia, PA 19106"
Thankful Baptist Church,"1608 W Allegheny Ave, Philadelphia, PA 19132"
Vine Memorial Baptist Church,"5600 W Girard Ave, Philadelphia, PA 19131"
New Gethsemane Baptist Church,"917 E Chelten Ave, Philadelphia, PA 19138"
St. Matthew Lutheran Church,"400 Lynbrooke Rd, Springfield, PA 19064"
Thankful Baptist Church,"1608 W Allegheny Ave, Philadelphia, PA 19132"
Vine Memorial Baptist Church,"5600 W Girard Ave, Philadelphia, PA 19131"
First Unitarian Church,"2125 Chestnut StPhiladelphia, PA 19103"
Sullivan Owen,"1639 N Hancock St Ste 102Philadelphia, PA 19122"
Great Awakenings,"1466 E Cheltenham AvePhiladelphia, PA 19124"
St. John the Evangelist Catholic Church,"21 S 13th StPhiladelphia, PA 19107"
Freedom Church,"1412 Chestnut StPhiladelphia, PA 19102"
Praise & Glory Tabernacle,"6200 Greenway AvePhiladelphia, PA 19142"
Church Of The Holy Trinity,"1904 Walnut StPhiladelphia, PA 19103"
Epiphany Fellowship,"1632 W Diamond StPhiladelphia, PA 19121"
Arch St Preschool,"1724 Arch StPhiladelphia, PA 19103"
Broad Street Ministry,"315 S Broad StPhiladelphia, PA 19107"
Congregation B'nai Abraham,"527 Lombard StPhiladelphia, PA 19147"
Christian Stronghold Baptist Church,"4701 Lancaster AvePhiladelphia, PA 19131"
