name,address
Grace Walk Church Phoenix,"7840 W Lower Buckeye RdPhoenix, AZ 85043"
Church For The Nations,"6225 N Central AvePhoenix, AZ 85012"
Shadow Rock United Church of Christ,"12861 N 8th AvePhoenix, AZ 85029"
Creative Living Fellowship,"6530 N 7th StPhoenix, AZ 85014"
Calvary Community Church,"12612 N Black Canyon HwyPhoenix, AZ 85029"
Foothills Baptist Church,"15450 S 21st StPhoenix, AZ 85048"
Desert Foothills United Methodist Church,"2156 E Liberty LnPhoenix, AZ 85048"
Thomas Road Baptist Church,"5735 W Thomas RdPhoenix, AZ 85031"
Cornerstone Church,"15441 N 22nd AvePhoenix, AZ 85023"
Deer Valley Free Methodist Chr,"15220 N 39th AvePhoenix, AZ 85053"
The Historic Tanner Chapel AME Church,"20 S 8th StPhoenix, AZ 85034"
First United Methodist Church,"5510 N Central AvePhoenix, AZ 85012"
St Lukes Catholic Church Parrish Hall,"19644 N 7th AvePhoenix, AZ 85027"
Holy Trinity Greek Orthodox Cathedral,"1973 E Maryland AvePhoenix, AZ 85016"
Shiloh Community Church,"19021 N 32nd StPhoenix, AZ 85050"
All Saints' Episcopal Church,"6300 N Central AvePhoenix, AZ 85012"
Monte Vista Church-Nazarene,"3313 N 40th StPhoenix, AZ 85018"
Desert Breeze Community Church,"17600 N Black Canyon HwyPhoenix, AZ 85053"
Maryvale Baptist Church,"5702 N 35th AvePhoenix, AZ 85017"
Open Door Fellowship Church,"8301 N 19th AvePhoenix, AZ 85021"
Victory Outreach Chr-Phoenix,"4655 W Mcdowell Rd Ste 101Phoenix, AZ 85035"
Glenview Adventist Academy,"6801 N 43rd AvePhoenix, AZ 85019"
West Phoenix Baptist Church,"4449 W Indian School RdPhoenix, AZ 85031"
Most Holy Trinity St Vincent,"8620 N 7th StPhoenix, AZ 85020"
American Ev Lutheran Infant,"1830 W Glenrosa AvePhoenix, AZ 85015"
Faith Lutheran Church,"801 E Camelback RdPhoenix, AZ 85014"
Mount Calvary Lutheran Church,"5105 N 7th AvePhoenix, AZ 85013"
Saint Anthony Catholic Church,"909 S 1st AvePhoenix, AZ 85003"
Our Lady Of Sorrows Church,"750 E Baseline RdPhoenix, AZ 85042"
Ss Simon And Jude Roman Catholic Cathedral,"6351 N 27th AvePhoenix, AZ 85017"
Phoenix Christian Assembly 1,"2030 N 36th St, Phoenix, AZ 85008"
St Theresa Parish,"5045 E Thomas Rd, Phoenix, AZ 85018"
"Gateway Fellowship, SBC","60 N Recker Rd, Gilbert, AZ 85234"
Valley Community Church Of God,"3250 N 40th St, Phoenix, AZ 85018"
The Historic Tanner Chapel AME Church,"20 S 8th St, Phoenix, AZ 85034"
Desert Valley Church Of Scottsdale,"9382 E Bahia Dr, Scottsdale, AZ 85260"
New Life Assembly Of God,"314 W University Dr, Mesa, AZ 85201"
Grace United Methodist Church,"2024 E University Dr, Mesa, AZ 85213"
Covenant Home School Resource Center,"1117 E Devonshire Ave, Phoenix, AZ 85014"
Desert Springs Community Church,"14440 W Indian School Rd, Goodyear, AZ 85395"
Calvary Ahwatukee,"460 W Cherrywood Dr, Chandler, AZ 85248"
Fresh Start Church,"14185 N 83rd Ave, Peoria, AZ 85381"
Valley Community Church Of God,"3250 N 40th St, Phoenix, AZ 85018"
Phoenix Christian Assembly 1,"2030 N 36th St, Phoenix, AZ 85008"
Covenant Home School Resource Center,"1117 E Devonshire Ave, Phoenix, AZ 85014"
Desert Valley Church Of Scottsdale,"9382 E Bahia Dr, Scottsdale, AZ 85260"
Fresh Start Church,"14185 N 83rd Ave, Peoria, AZ 85381"
"Gateway Fellowship, SBC","60 N Recker Rd, Gilbert, AZ 85234"
New Life Assembly Of God,"314 W University Dr, Mesa, AZ 85201"
St Theresa Parish,"5045 E Thomas Rd, Phoenix, AZ 85018"
The Historic Tanner Chapel AME Church,"20 S 8th St, Phoenix, AZ 85034"
Valley Community Church Of God,"3250 N 40th St, Phoenix, AZ 85018"
Grace Walk Church Phoenix,"7840 W Lower Buckeye RdPhoenix, AZ 85043"
Church For The Nations,"6225 N Central AvePhoenix, AZ 85012"
Shadow Rock United Church of Christ,"12861 N 8th AvePhoenix, AZ 85029"
Creative Living Fellowship,"6530 N 7th StPhoenix, AZ 85014"
Calvary Community Church,"12612 N Black Canyon HwyPhoenix, AZ 85029"
Foothills Baptist Church,"15450 S 21st StPhoenix, AZ 85048"
Desert Foothills United Methodist Church,"2156 E Liberty LnPhoenix, AZ 85048"
Thomas Road Baptist Church,"5735 W Thomas RdPhoenix, AZ 85031"
Cornerstone Church,"15441 N 22nd AvePhoenix, AZ 85023"
Deer Valley Free Methodist Chr,"15220 N 39th AvePhoenix, AZ 85053"
The Historic Tanner Chapel AME Church,"20 S 8th StPhoenix, AZ 85034"
First United Methodist Church,"5510 N Central AvePhoenix, AZ 85012"
St Lukes Catholic Church Parrish Hall,"19644 N 7th AvePhoenix, AZ 85027"
Holy Trinity Greek Orthodox Cathedral,"1973 E Maryland AvePhoenix, AZ 85016"
Shiloh Community Church,"19021 N 32nd StPhoenix, AZ 85050"
All Saints' Episcopal Church,"6300 N Central AvePhoenix, AZ 85012"
Monte Vista Church-Nazarene,"3313 N 40th StPhoenix, AZ 85018"
Desert Breeze Community Church,"17600 N Black Canyon HwyPhoenix, AZ 85053"
Maryvale Baptist Church,"5702 N 35th AvePhoenix, AZ 85017"
Open Door Fellowship Church,"8301 N 19th AvePhoenix, AZ 85021"
Victory Outreach Chr-Phoenix,"4655 W Mcdowell Rd Ste 101Phoenix, AZ 85035"
Glenview Adventist Academy,"6801 N 43rd AvePhoenix, AZ 85019"
West Phoenix Baptist Church,"4449 W Indian School RdPhoenix, AZ 85031"
Most Holy Trinity St Vincent,"8620 N 7th StPhoenix, AZ 85020"
American Ev Lutheran Infant,"1830 W Glenrosa AvePhoenix, AZ 85015"
Faith Lutheran Church,"801 E Camelback RdPhoenix, AZ 85014"
Mount Calvary Lutheran Church,"5105 N 7th AvePhoenix, AZ 85013"
Saint Anthony Catholic Church,"909 S 1st AvePhoenix, AZ 85003"
Our Lady Of Sorrows Church,"750 E Baseline RdPhoenix, AZ 85042"
Ss Simon And Jude Roman Catholic Cathedral,"6351 N 27th AvePhoenix, AZ 85017"
Phoenix Christian Assembly 1,"2030 N 36th St, Phoenix, AZ 85008"
St Theresa Parish,"5045 E Thomas Rd, Phoenix, AZ 85018"
"Gateway Fellowship, SBC","60 N Recker Rd, Gilbert, AZ 85234"
Valley Community Church Of God,"3250 N 40th St, Phoenix, AZ 85018"
The Historic Tanner Chapel AME Church,"20 S 8th St, Phoenix, AZ 85034"
Desert Valley Church Of Scottsdale,"9382 E Bahia Dr, Scottsdale, AZ 85260"
New Life Assembly Of God,"314 W University Dr, Mesa, AZ 85201"
Grace United Methodist Church,"2024 E University Dr, Mesa, AZ 85213"
Covenant Home School Resource Center,"1117 E Devonshire Ave, Phoenix, AZ 85014"
Desert Springs Community Church,"14440 W Indian School Rd, Goodyear, AZ 85395"
Calvary Ahwatukee,"460 W Cherrywood Dr, Chandler, AZ 85248"
Fresh Start Church,"14185 N 83rd Ave, Peoria, AZ 85381"
Valley Community Church Of God,"3250 N 40th St, Phoenix, AZ 85018"
Phoenix Christian Assembly 1,"2030 N 36th St, Phoenix, AZ 85008"
Covenant Home School Resource Center,"1117 E Devonshire Ave, Phoenix, AZ 85014"
Desert Valley Church Of Scottsdale,"9382 E Bahia Dr, Scottsdale, AZ 85260"
Fresh Start Church,"14185 N 83rd Ave, Peoria, AZ 85381"
"Gateway Fellowship, SBC","60 N Recker Rd, Gilbert, AZ 85234"
New Life Assembly Of God,"314 W University Dr, Mesa, AZ 85201"
St Theresa Parish,"5045 E Thomas Rd, Phoenix, AZ 85018"
The Historic Tanner Chapel AME Church,"20 S 8th St, Phoenix, AZ 85034"
Valley Community Church Of God,"3250 N 40th St, Phoenix, AZ 85018"
Sunrise United Methodist Church,"19234 N 7th AvePhoenix, AZ 85027"
Phoenix Reformed Baptist Ch,"3805 N 12th StPhoenix, AZ 85014"
Northern Hills Community Church,"2740 E Union Hills DrPhoenix, AZ 85050"
Desert Hills Evangelical Free,"3636 W Greenway RdPhoenix, AZ 85053"
Pilgrim Rest Baptist Church,"1401 E Jefferson StPhoenix, AZ 85034"
Saint Andrew Lutheran Church,"3101 W Cholla StPhoenix, AZ 85029"
St Matthew Catholic Church,"320 N 20th DrPhoenix, AZ 85009"
St Gregory's Church,"3424 N 18th AvePhoenix, AZ 85015"
St Paul's Catholic Church,"330 W Coral Gables DrPhoenix, AZ 85023"
Saint Mary's Basilica,"231 N 3rd StPhoenix, AZ 85004"
First Pentecostal Church,"2701 E Marguerite AvePhoenix, AZ 85040"
Biltmore Church of the Nazarene,"5604 N 24th StPhoenix, AZ 85016"
St George Antiochian Orthodox Church,"4530 E Gold Dust AvePhoenix, AZ 85028"
North Hills Church Of God,"15025 N 19th AvePhoenix, AZ 85023"
Lookout Mountain Baptist Church,"1502 E Sandra TerPhoenix, AZ 85022"
Holy Archangels Orthodox Church,"2037 E Desert LnPhoenix, AZ 85042"
Covenant Home School Resource Center,"1117 E Devonshire AvePhoenix, AZ 85014"
Deer Valley Worship Center,"20817 N 19th AvePhoenix, AZ 85027"
Sgi Usa,"1930 E Myrtle AvePhoenix, AZ 85020"
Cross Roads Preschool Ltd,"7901 N Central AvePhoenix, AZ 85020"
Phoenix Rescue Mission,"1801 S 35th AvePhoenix, AZ 85009"
Stone Creek Bible Church,"17844 N 7th AvePhoenix, AZ 85023"
First Institutional Baptist Church,"1141 E Jefferson StPhoenix, AZ 85034"
Family Of Christ Lutheran Church,"3501 E Chandler BlvdPhoenix, AZ 85048"
New Valley Church,"15220 S 50th St Ste 101Phoenix, AZ 85044"
Spirit of God Christian Community Church,"23 W Watkins RdPhoenix, AZ 85003"
Wheat,"4000 N 7th St Ste 118Phoenix, AZ 85014"
Beth El Congregation,"1118 W Glendale AvePhoenix, AZ 85021"
Joy Of Life,"16420 N 22nd StPhoenix, AZ 85022"
Valley Life Church,"34406 N 27th DrPhoenix, AZ 85085"
Hidden Treasures Christian,"4426 N 31st AvePhoenix, AZ 85017"
Autom,"5210 S 31st PlPhoenix, AZ 85040"
River Of Life Tabernacle,"4302 E Broadway RdPhoenix, AZ 85040"
Phoenix First Assembly,"13613 N Cave Creek RdPhoenix, AZ 85022"
Holy Redeemer Cemetery,"23015 N Cave Creek RdPhoenix, AZ 85024"
Diocese of Phoenix,"2033 N 48th StPhoenix, AZ 85008"
Lincoln Heights Christian Church,"2121 E Lincoln DrPhoenix, AZ 85016"
Freeway Baptist Church,"8501 N Black Canyon HwyPhoenix, AZ 85021"
Shepherd of The Hills Parent Cooperative School,"5524 E Lafayette BlvdPhoenix, AZ 85018"
Phoenix Friends Church,"8055 N 39th AvePhoenix, AZ 85051"
Self Realization Fellowship,"6111 N Central AvePhoenix, AZ 85012"
Iglesia De Dios Pentecostal Mi,"963 E Monroe StPhoenix, AZ 85034"
Evangelical Sisterhood,"9849 N 40th StPhoenix, AZ 85028"
Creighton United Methodist Church,"4900 E Thomas RdPhoenix, AZ 85018"
Queen of Holy Rosary Church Traditional Latin Mass,"2533 W Myrtle AvePhoenix, AZ 85051"
Bethesda Community Baptist Church,"906 E Jones AvePhoenix, AZ 85040"
Fire and Water International,"1937 E Diamond StPhoenix, AZ 85006"
Jehovah's Witnesses,"12470 N 33rd AvePhoenix, AZ 85029"
Orangewood Nazarene Church,"7510 N 27th AvePhoenix, AZ 85051"
Our Lady of Czestochowa Parish,"2828 W Country Gables DrPhoenix, AZ 85053"
Mount Claret,"4633 N 54th StPhoenix, AZ 85018"
Phoenix Dream Center,"3210 Grand AvePhoenix, AZ 85017"
Baha'i Faith,"9812 N 10th StPhoenix, AZ 85020"
Chabad-Lubavitch Center,"2110 E Lincoln DrPhoenix, AZ 85016"
St Francis Catholic Cemetery,"2033 N 48th StPhoenix, AZ 85008"
Iglesia La Luz Del Mundo,"1206 N Laurel AvePhoenix, AZ 85007"
First Southern Baptist Church,"Phoenix 85017Phoenix, AZ 85017"
Historic First Presbyterian Church,"402 W Monroe StPhoenix, AZ 85003"
Shepherd Of The Valley Lutheran Church,"1500 W Maryland AvePhoenix, AZ 85015"
Prayer Assembly Church Of God,"4520 W Mcdowell RdPhoenix, AZ 85035"
Faith Assembly of God,"1441 W Glendale AvePhoenix, AZ 85021"
Phoenix World Outreach,"1601 Grand AvePhoenix, AZ 85007"
Horizon Presbyterian Church,"1401 E Liberty LnPhoenix, AZ 85048"
Word of Abundant Life Ministries,"6849 W Indian School RdPhoenix, AZ 85033"
The Door Christian Fellowship Church,"7342 W Indian School RdPhoenix, AZ 85033"
St Joan Of Arc Catholic Church,"3801 E Greenway RdPhoenix, AZ 85032"
Friendship Community Church,"9807 S 48th StPhoenix, AZ 85044"
Christian Life Church,"3946 W Mcdowell RdPhoenix, AZ 85009"
Bridgeway Community Church,"2420 E Liberty LnPhoenix, AZ 85048"
Esperanza Lutheran Church,"2601 E Thunderhill PlPhoenix, AZ 85048"
Phoenix Valley Church of Christ,"Phoenix, AZ 85050"
Corpus Christi Catholic Church,"3550 E Knox RdPhoenix, AZ 85044"
Gentle Shepherd MCC,"717 E Southern AvePhoenix, AZ 85040"
Crosswalk Church,"2450 W South Mountain AvePhoenix, AZ 85041"
Life Church At South Mountain,"4001 E Baseline RdPhoenix, AZ 85042"
Abundant Life Center,"3535 N 63rd AvePhoenix, AZ 85033"
Ahwatukee Assembly Of God,"11832 S Warner Elliot LoopPhoenix, AZ 85044"
Mountain Park Community Church,"2408 E Pecos RdPhoenix, AZ 85048"
Desert Springs Worship Center Pentecostal Church of God,"10714 S 4th StPhoenix, AZ 85042"
Grace North Church,"4135 W Opportunity WayPhoenix, AZ 85086"
Community Church of Hope,"4121 N 7th AvePhoenix, AZ 85013"
Our Lady Of The Valley,"3220 W Greenway RdPhoenix, AZ 85053"
Saint Thomas The Apostle Roman Catholic School,"2312 E Campbell AvePhoenix, AZ 85016"
Bethany Bible Church,"6060 N 7th AvePhoenix, AZ 85013"
Trinity Cathedral,"100 W Roosevelt StPhoenix, AZ 85003"
Love Baptist Church,"3030 W Glendale AvePhoenix, AZ 85051"
Church Of The Beatitudes,"555 W Glendale AvePhoenix, AZ 85021"
St Francis Xavier School,"4715 N Central AvePhoenix, AZ 85012"
Carefree Vineyard Church,"34225 N 27th Dr Ste 3Phoenix, AZ 85085"
"New Beginning Gospel Ministry, Inc.","1909 S 80th AvePhoenix, AZ 85043"
Church Of The Epiphany,"8433 N 12th StPhoenix, AZ 85020"
Desert Springs Bible Church,"16215 N Tatum BlvdPhoenix, AZ 85032"
Trinity United Methodist Church,"3104 W Glendale AvePhoenix, AZ 85051"
St Luke's At The Mountain Episcopal Mission,"9027 S 8th PlPhoenix, AZ 85042"
West High Baptist Church,"3301 N 19th AvePhoenix, AZ 85015"
Faith Missionary Baptist Church,"5802 S 7th AvePhoenix, AZ 85041"
Arizona Baptist Children's Svc,"1717 W Northern AvePhoenix, AZ 85021"
Northwest Baptist Church,"6701 N 43rd AvePhoenix, AZ 85019"
Royal Palms Baptist Church,"8802 N 19th AvePhoenix, AZ 85021"
North Mountain Baptist Church,"10202 N Cave Creek RdPhoenix, AZ 85020"
Hillside Southern Baptist Church,"1344 W Thunderbird RdPhoenix, AZ 85023"
Northwest Chinese Baptist Church,"4243 W Greenway RdPhoenix, AZ 85053"
Westminster Presbyterian Church,"4735 N 19th AvePhoenix, AZ 85015"
Church Of Christ Valley,"3535 W Georgia AvePhoenix, AZ 85019"
Our Saviour's Lutheran Church,"1212 E Glendale AvePhoenix, AZ 85020"
Camelback Church Of Christ,"5225 E Camelback RdPhoenix, AZ 85018"
Bethany Presbyterian Church,"7702 N 35th AvePhoenix, AZ 85051"
Alleluia Lutheran Church,"8444 W Encanto BlvdPhoenix, AZ 85037"
Lutheran Church Of The Master,"2340 W Cactus RdPhoenix, AZ 85029"
Emmaus Lutheran Church,"3841 W Sweetwater AvePhoenix, AZ 85029"
Calvin Presbyterian Church,"4150 E Acoma DrPhoenix, AZ 85032"
Paradise Valley Lutheran Church,"14845 N 40th StPhoenix, AZ 85032"
Deer Valley Lutheran Church,"220 W Union Hills DrPhoenix, AZ 85027"
Northside Church Of Christ,"20222 N 32nd DrPhoenix, AZ 85027"
Immaculate Heart Church,"909 E Washington StPhoenix, AZ 85034"
Central United Methodist Church,"1875 N Central AvePhoenix, AZ 85004"
Cross Roads United Methodist Church,"7901 N Central AvePhoenix, AZ 85020"
Calvary United Methodist Church,"7949 W Indian School RdPhoenix, AZ 85033"
Cross In The Desert United Methodist Church,"12835 N 32nd StPhoenix, AZ 85032"
Saint John-The Desert Melkite,"3718 E Greenway RdPhoenix, AZ 85032"
North Village Baptist Church,"1010 E Alice AvePhoenix, AZ 85020"
North Valley Free Will Baptist,"18220 N 20th StPhoenix, AZ 85022"
Pentecost Church-Jesus Christ,"102 N 13th StPhoenix, AZ 85034"
Trinity Church Of God In Christ,"1702 E Jefferson StPhoenix, AZ 85034"
Seventh Day Adventist Community Service Center,"1320 N 15th StPhoenix, AZ 85006"
St Peter & Paul Eastern Orthodox,"1614 E Monte Vista RdPhoenix, AZ 85006"
Casa De Cristo,"1029 E Turney AvePhoenix, AZ 85014"
