name,place,word
Concord Church,Dallas,concord
Concord Church,Dallas,church
Temple Emanu-El,Dallas,temple
Temple Emanu-El,Dallas,emanu
Temple Emanu-El,Dallas,el
Saint Jude Chapel,Dallas,saint
Saint Jude Chapel,Dallas,jude
Saint Jude Chapel,Dallas,chapel
The Potter's House,Dallas,the
The Potter's House,Dallas,potter's
The Potter's House,Dallas,house
Episcopal Church Of The Transfiguration,Dallas,episcopal
Episcopal Church Of The Transfiguration,Dallas,church
Episcopal Church Of The Transfiguration,Dallas,of
Episcopal Church Of The Transfiguration,Dallas,the
Episcopal Church Of The Transfiguration,Dallas,transfiguration
Cathedral Shrine of the Virgin Guadalupe,Dallas,cathedral
Cathedral Shrine of the Virgin Guadalupe,Dallas,shrine
Cathedral Shrine of the Virgin Guadalupe,Dallas,of
Cathedral Shrine of the Virgin Guadalupe,Dallas,the
Cathedral Shrine of the Virgin Guadalupe,Dallas,virgin
Cathedral Shrine of the Virgin Guadalupe,Dallas,guadalupe
Oak Lawn United Methodist Church,Dallas,oak
Oak Lawn United Methodist Church,Dallas,lawn
Oak Lawn United Methodist Church,Dallas,united
Oak Lawn United Methodist Church,Dallas,methodist
Oak Lawn United Methodist Church,Dallas,church
Fellowship Church,Dallas,fellowship
Fellowship Church,Dallas,church
Pilgrim Rest Missionary Baptist Church,Dallas,pilgrim
Pilgrim Rest Missionary Baptist Church,Dallas,rest
Pilgrim Rest Missionary Baptist Church,Dallas,missionary
Pilgrim Rest Missionary Baptist Church,Dallas,baptist
Pilgrim Rest Missionary Baptist Church,Dallas,church
Christian Chapel CME Church,Dallas,christian
Christian Chapel CME Church,Dallas,chapel
Christian Chapel CME Church,Dallas,cme
Christian Chapel CME Church,Dallas,church
Dallas Apostolic Church,Dallas,dallas
Dallas Apostolic Church,Dallas,apostolic
Dallas Apostolic Church,Dallas,church
Bethany Baptist Church,Dallas,bethany
Bethany Baptist Church,Dallas,baptist
Bethany Baptist Church,Dallas,church
Walnut Hill Lutheran Church,Dallas,walnut
