name,address,lon,lat
St John Cantius Church,"5244 N Lakewood Ave, Chicago, IL 60640",-87.662857,41.9776706
Fourth Presbyterian Church,"825 N Carpenter StChicago, IL 60642",-87.65337319999999,41.8971869
St Gertrudes Chuch,"126 E Chestnut StChicago, IL 60611",-87.62519379999999,41.8988185
St. Peter's Catholic Books & Gifts,"1420 W Granville AveChicago, IL 60660",-87.6657006,41.994708
St. Mary of the Angels,"110 W Madison StChicago, IL 60602",-87.6314189,41.8821416
St Joseph Church,"1850 N Hermitage AveChicago, IL 60622",-87.6720378,41.9157538
Queen of All Saints Church,"1107 N Orleans StChicago, IL 60610",-87.6369534,41.9022769
First United Methodist Church,"6280 N Sauganash AveChicago, IL 60646",-87.7448841,41.9944662
St. Vincent De Paul Church,"77 W Washington StChicago, IL 60602",-87.63067620000001,41.8829466
Church Of Our Saviour,"1010 W Webster AveChicago, IL 60614",-87.6538968,41.922208
All Saints Episcopal Church,"530 W Fullerton PkwyChicago, IL 60614",-87.6427357,41.9260295
Holy Trinity Lutheran Church,"4550 N Hermitage AveChicago, IL 60640",-87.67302289999999,41.9649803
Park Community Church,"1218 W Addison StChicago, IL 60613",-87.66015519999999,41.94745289999999
Pilgrim Evangelical Lutheran,"1001 N Crosby StChicago, IL 60610",-87.64385349999999,41.9009069
Urban Village Church,"4300 N Winchester AveChicago, IL 60613",-87.6778611,41.95987849999999
Willow Creek Community Church,"610 S Michigan AveChicago, IL 60605",-87.6247696,41.8740396
City Church Chicago,"418 S Wabash AveChicago, IL 60605",-87.6265241,41.8763827
First Evangelical Free Church,"777 N Green StChicago, IL 60642",-87.6485943,41.8960043
St Edward,"5255 N Ashland AveChicago, IL 60640",-87.6692863,41.9777931
Concordia Place,"4343 W Sunnyside AveChicago, IL 60630",-87.7374494,41.96250879999999
Old St Pats,"3300 N Whipple StChicago, IL 60618",-87.7044449,41.9416837
First St Paul's Evangelical Lutheran Church,"700 W Adams StChicago, IL 60661",-87.6445088,41.8794076
Greater Harvest Baptist Church,"1301 N La Salle DrChicago, IL 60610",-87.6324812,41.9059828
Wicker Park Lutheran Church,"5141 S State StChicago, IL 60609",-87.625348,41.80091520000001
St Paul's Church By The Lake,"1502 N Hoyne AveChicago, IL 60622",-87.68018719999999,41.9085033
St Procopius Church,"7100 N Ashland BlvdChicago, IL 60626",-87.67040349999999,42.0118215
United Church of Rogers Park,"1641 S Allport StChicago, IL 60608",-87.65738089999999,41.85849779999999
Immaculate Conception Ch,"1545 W Morse AveChicago, IL 60626",-87.6693248,42.0076227
Trinity United Church Of Christ,"2745 W 44th StChicago, IL 60632",-87.6939348,41.8133334
Stratford Christian Center Church,"400 W 95th StChicago, IL 60628",-87.63242389999999,41.7219089
St Alphonsus Roman Catholic Church,"9152 S Ashland AveChicago, IL 60620",-87.6632429,41.72681559999999
Stratford Christian Center Church,"1429 W Wellington Ave, Chicago, IL 60657",-87.6649329,41.9357774
Carter Temple CME Church,"9152 S Ashland Ave, Chicago, IL 60620",-87.6632429,41.72681559999999
St. Peter's Catholic Books & Gifts,"7841 S Wabash Ave, Chicago, IL 60619",-87.62265819999999,41.7512821
Christ The King Lutheran Church & School,"110 W Madison St, Chicago, IL 60602",-87.6314189,41.8821416
Maryland Avenue Baptist Church,"3701 S Lake Park Ave, Chicago, IL 60653",-87.6058706,41.8285756
St. Peter's Catholic Books & Gifts,"8058 S Maryland Ave, Chicago, IL 60619",-87.60425029999999,41.747845
First Christian Church of Chicago,"110 W Madison St, Chicago, IL 60602",-87.6314189,41.8821416
North Shore Baptist Church,"3600 W 79th St, Chicago, IL 60652",-87.71333620000001,41.7500217
St John Cantius Church,"5244 N Lakewood Ave, Chicago, IL 60640",-87.662857,41.9776706
Fourth Presbyterian Church,"5244 N Lakewood Ave, Chicago, IL 60640",-87.662857,41.9776706
St Gertrudes Chuch,"825 N Carpenter StChicago, IL 60642",-87.65337319999999,41.8971869
St. Peter's Catholic Books & Gifts,"126 E Chestnut StChicago, IL 60611",-87.62519379999999,41.8988185
St. Mary of the Angels,"1420 W Granville AveChicago, IL 60660",-87.6657006,41.994708
St Joseph Church,"110 W Madison StChicago, IL 60602",-87.6314189,41.8821416
Queen of All Saints Church,"1850 N Hermitage AveChicago, IL 60622",-87.6720378,41.9157538
First United Methodist Church,"1107 N Orleans StChicago, IL 60610",-87.6369534,41.9022769
St. Vincent De Paul Church,"6280 N Sauganash AveChicago, IL 60646",-87.7448841,41.9944662
Church Of Our Saviour,"77 W Washington StChicago, IL 60602",-87.63067620000001,41.8829466
All Saints Episcopal Church,"1010 W Webster AveChicago, IL 60614",-87.6538968,41.922208
Holy Trinity Lutheran Church,"530 W Fullerton PkwyChicago, IL 60614",-87.6427357,41.9260295
Park Community Church,"4550 N Hermitage AveChicago, IL 60640",-87.67302289999999,41.9649803
Pilgrim Evangelical Lutheran,"1218 W Addison StChicago, IL 60613",-87.66015519999999,41.94745289999999
Urban Village Church,"1001 N Crosby StChicago, IL 60610",-87.64385349999999,41.9009069
Willow Creek Community Church,"4300 N Winchester AveChicago, IL 60613",-87.6778611,41.95987849999999
City Church Chicago,"610 S Michigan AveChicago, IL 60605",-87.6247696,41.8740396
First Evangelical Free Church,"418 S Wabash AveChicago, IL 60605",-87.6265241,41.8763827
St Edward,"777 N Green StChicago, IL 60642",-87.6485943,41.8960043
Concordia Place,"5255 N Ashland AveChicago, IL 60640",-87.6692863,41.9777931
Old St Pats,"4343 W Sunnyside AveChicago, IL 60630",-87.7374494,41.96250879999999
