text,address,place,lon,lat
Potter's House Church Of God,"3220 Lowell Dr Columbus, OH 43204",Columbus,-83.08901759999999,39.9731932
First Church of God,"3480 Refugee Rd Columbus, OH 43232",Columbus,-82.9083,39.9188171
Holy Name Church,"154 E Patterson Ave Columbus, OH 43202",Columbus,-83.00585799999999,40.010076
Trinity Lutheran Church,"404 S 3rd St Columbus, OH 43215",Columbus,-82.995847,39.95402
Northland Church of Christ Child Care,"4581 Cleveland Ave Columbus, OH 43231",Columbus,-82.954897,40.062952
King Avenue United Methodist Church,"299 King Ave Columbus, OH 43201",Columbus,-83.0141469,39.990272
Torah Center,"2942 E Broad St Columbus, OH 43209",Columbus,-82.92241480000001,39.9713645
Karl Rd Baptist Church,"5750 Karl Rd Columbus, OH 43229",Columbus,-82.9743075,40.0841349
Broad Street United Methodist,"501 E Broad St Columbus, OH 43215",Columbus,-82.9871988,39.96331660000001
United Methodist Church For All People,"946 Parsons Ave Columbus, OH 43206",Columbus,-82.9827492,39.9443769
Maple Grove United Methodist Church,"7 W Henderson Rd Columbus, OH 43214",Columbus,-83.0206312,40.0511476
Gethsemane Lutheran Church,"35 E Stanton Ave Columbus, OH 43214",Columbus,-83.0175905,40.0741234
Veritas Community Church,"345 E 2nd Ave Columbus, OH 43201",Columbus,-82.99501959999999,39.9814116
First Unitarian Universalist Church,"93 W Weisheimer Rd Columbus, OH 43214",Columbus,-83.0223326,40.0542017
Stonybrook Early Learning Center,"485 Cherry Bottom Rd Columbus, OH 43230",Columbus,-82.8764389,40.0306222
Agathos | Non-Denominational Christian Church,"43 W 4th Ave Columbus, OH 43201",Columbus,-83.0064034,39.9849403
Beth Jacob Synagogue,"1223 College Ave Columbus, OH 43209",Columbus,-82.93480249999999,39.9438802
The Depot,"921 Old Henderson Rd Columbus, OH 43220",Columbus,-83.0448982,40.0513972
Trinity Lutheran Seminary,"2199 E Main St Columbus, OH 43209",Columbus,-82.9406857,39.9569617
Ascension Lutheran Church,"1479 Morse Rd Columbus, OH 43229",Columbus,-82.9802801,40.0601573
School For Young Children,"93 W Weisheimer Rd Columbus, OH 43214",Columbus,-83.0223326,40.0542017
Holy Family Church,"584 W Broad St Columbus, OH 43215",Columbus,-83.016625199999993,39.9605834
